variant,common_cost,e_grid_mwh,co2_kg,e_total_mwh,recommended_exceedance_degc_h,recommended_exceedance_hours,recommended_compliance_pct,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,allowable_exceedance_hours
beta0,270.540951052662,1026.8084664108603,337185.0599913219,1582.6408039560952,1.3968306028289134e-06,0.0,100.0,26.99577912094063,27.00000015104997,27.000000663602957,0.0
beta0p10,272.4456301026549,1036.1910705679643,340220.988212453,1584.9470473693011,2.6562841846100584e-07,0.0,100.0,26.859884764540034,26.926220951393592,27.000000197421606,0.0
