country,city,years,rows,sst_mean,wind_cf,ci_mean,price
USA,Los Angeles,2023,8760,17.464851598173517,0.16780545378618583,193.9140410958904,127.5
CHN,Shanghai,2023,8760,19.033390410958905,0.3863088952400356,484.39052511415525,55.65
GBR,Cardiff,2023,8760,13.032100456621006,0.4655735540007705,135.32009132420092,305.2564102564103
AUS,Sydney,2023,8760,21.015662100456623,0.354816241119488,501.6415525114155,236.8421052631579
JPN,Tokyo,2023,8760,18.443093607305936,0.3051787243272747,449.16689497716897,130.8493536808262
IRL,Dublin,2023,8760,12.373675799086758,0.5193472770638811,327.78447488584476,269.3478260869565
NOR,Oslo,2023,8760,9.463561643835616,0.13550223604730774,3.298744292237443,80.86956521739128
IND,Mumbai,2023,8760,28.578196347031962,0.21412575575192136,612.383105022831,106.95
MYS,Johor Bahru,2023,8760,29.423378995433794,0.09425532534306076,570.4087899543379,113.71
PRT,Lisbon,2023,8760,17.41341324200913,0.4079631516659964,99.40673515981734,123.15217391304347
KOR,Incheon,2023,8760,14.284429223744294,0.31199863840586683,377.8977168949772,126.88318737255938
NLD,Amsterdam,2023,8760,12.927488584474887,0.5343767815062618,211.98698630136985,174.89130434782606
CAN,Vancouver,2023,8760,11.744417808219179,0.11165332124514568,30.03219178082192,83.06569343065692
IDN,Jakarta,2023,8760,29.62683789954338,0.07862418443776185,581.0336757990867,78.14
SGP,Singapore,2023,8760,29.423378995433794,0.09425532534306076,369.2092465753425,188.06
