timestamp,hour,fixed_load_mw,flexible_arrival_mw,sst_c,wind_mw,carbon_kg_per_mwh,price_usd_per_mwh
2023-01-01 00:00:00,0,3.320132389,1.422913881,26.9,3.649675770251912,661.0,106.95
2023-01-01 01:00:00,1,3.7900010797652386,1.624286177042245,26.9,3.349604971116636,668.0,106.95
2023-01-01 02:00:00,2,3.6190419630609316,1.5510179841689709,26.9,3.821757700039917,646.0,106.95
2023-01-01 03:00:00,3,3.6575187171370116,1.5675080216301478,26.9,4.379424040569477,616.0,106.95
2023-01-01 04:00:00,4,3.5291020739933585,1.512472317425725,26.9,4.012625120550847,615.0,106.95
2023-01-01 05:00:00,5,3.4939466818798133,1.4974057208056342,26.9,3.647871570771849,617.0,106.95
2023-01-01 06:00:00,6,3.309948517796167,1.4185493647697858,26.9,3.52845530034544,614.0,106.95
2023-01-01 07:00:00,7,3.5865759219921642,1.5371039665680704,26.9,3.055916908011118,608.0,106.95
2023-01-01 08:00:00,8,4.010788451717506,1.7189093364503594,26.9,2.5250598351114335,605.0,106.95
2023-01-01 09:00:00,9,4.09767712997184,1.7561473414165032,26.9,2.5518954921308037,600.0,106.95
2023-01-01 10:00:00,10,4.158172177754778,1.7820737904663333,26.9,3.0039741991949533,600.0,106.95
2023-01-01 11:00:00,11,4.260288202565879,1.825837801099662,26.9,3.979476431231766,604.0,106.95
2023-01-01 12:00:00,12,4.081555924404652,1.7492382533162796,26.9,4.677526891301341,643.0,106.95
2023-01-01 13:00:00,13,4.810985511770571,2.061850933615959,26.9,5.314920851321334,663.0,106.95
2023-01-01 14:00:00,14,5.063022217163054,2.1698666644984517,26.9,5.066344385194314,660.0,106.95
2023-01-01 15:00:00,15,4.521929068331474,1.937969600713489,26.9,4.229913663787026,655.0,106.95
2023-01-01 16:00:00,16,4.478274872775162,1.9192606597607835,26.9,4.011885822361167,654.0,106.95
2023-01-01 17:00:00,17,4.7200393989934,2.0228740281400284,26.8,3.8546182228767965,655.0,106.95
2023-01-01 18:00:00,18,5.357869476985421,2.2962297758508945,26.8,3.915153310295447,644.0,106.95
2023-01-01 19:00:00,19,5.521982175250417,2.3665637893930356,26.8,4.179711540265275,643.0,106.95
2023-01-01 20:00:00,20,5.365573727537532,2.299531597516085,26.8,4.570508291196403,642.0,106.95
2023-01-01 21:00:00,21,5.02899024009586,2.155281531469654,26.8,4.556407599087209,643.0,106.95
2023-01-01 22:00:00,22,5.221713144674453,2.237877062003337,26.8,4.314427442091961,643.0,106.95
2023-01-01 23:00:00,23,4.872964913522315,2.088413534366706,26.8,3.989070276753292,642.0,106.95
2023-01-02 00:00:00,24,5.205925613138405,2.2311109770593163,26.8,3.60391773581335,648.0,106.95
2023-01-02 01:00:00,25,5.417206473771633,2.3216599173306998,26.8,3.501455591182427,652.0,106.95
