condition,availability,algorithm,n_weeks,common_cost_mean,e_total_mwh_mean,e_grid_mwh_mean,co2_kg_mean,e_cooling_mwh_mean,e_pump_mwh_mean,recommended_exceedance_hours_total,recommended_exceedance_degc_h_total,recommended_compliance_pct_mean,p95_t_inlet_c_mean,p99_t_inlet_c_mean,max_t_inlet_c_max,allowable_exceedance_hours_total,allowable_exceedance_degc_h_total,sla_violation_mwh_total
adverse_bias_s1.0,0.5,eact_mpc,12,277.4224945472119,1843.8965874973155,1182.9095901338394,301937.3002709379,508.3916066364754,30.08168480648236,7.0,1.5000154474658203,99.65277777777779,26.963527571878938,27.015882985445216,27.301007667680697,0.0,0.0,0.0
adverse_bias_s1.0,0.5,nominal_causal_mpc,12,271.6130743199432,1817.146187067295,1164.616445110291,293220.2018106341,483.93049578236395,27.792412397581533,185.0,206.4207592636454,90.8234126984127,27.506816898633147,27.651607197561916,29.08176944481528,0.0,0.0,0.00020000367223268155
adverse_bias_s1.0,0.5,static_robust_mpc,12,273.07779608166794,1832.8834047361916,1162.4263023136862,293121.99429141835,500.0715088178933,27.38859986394097,45.0,18.18167407056764,97.76785714285715,27.08396503839968,27.15696745503942,27.878545007794912,0.0,0.0,0.0
adverse_bias_s1.0,0.75,eact_mpc,12,263.4503592054134,1785.9547264281248,1129.2539178017773,283854.22044075775,459.84075062446396,20.69067974930334,1.0,0.02206264322894559,99.95039682539682,26.90404889361817,26.95500060672148,27.022060281527352,0.0,0.0,0.0
adverse_bias_s1.0,0.75,nominal_causal_mpc,12,263.19970837129193,1769.8645449579901,1125.4864795146066,282508.7779649911,447.84429444722787,16.596988789734908,20.0,9.111756804597004,99.0079365079365,27.046019166594487,27.08679374213945,27.882389093969536,0.0,0.0,0.00039999996432102104
adverse_bias_s1.0,0.75,static_robust_mpc,12,263.0181417587725,1781.9638389618042,1122.6324572765525,281097.01142293157,458.2647914167915,18.27575149065487,5.0,0.6319528354383976,99.75198412698414,27.000000051245383,27.00864444495649,27.30149680715404,0.0,0.0,0.0
adverse_bias_s1.0,1.0,eact_mpc,12,258.3878969867758,1760.3103886341657,1108.1605679068273,277438.87475671456,440.3296054498931,14.55748712991398,0.0,1.742751855360325e-05,100.0,26.917475353345054,26.966873323911482,27.00001243803868,0.0,0.0,0.0
adverse_bias_s1.0,1.0,nominal_causal_mpc,12,256.9336069757956,1746.2614720169342,1097.333721362649,272633.97655230033,429.5807008728732,11.257500726399172,2.0,0.19368069661711115,99.90079365079366,27.000000230233244,27.000861404281434,27.16214139479753,0.0,0.0,0.00029867994923231443
adverse_bias_s1.0,1.0,static_robust_mpc,12,257.7347294448111,1757.3774174376606,1101.0852476520051,275189.2611330908,439.2802759666604,12.673845416643067,0.0,7.515602195695692e-05,100.0,27.000000055711123,27.00000018634667,27.00005090885134,0.0,0.0,0.0
none_s0.0,0.5,eact_mpc,12,276.73838219735177,1845.2750064381173,1183.7024107621712,301906.5493143141,509.2619116401747,30.589798743584762,7.0,1.6052487530861725,99.65277777777779,26.769209041378303,26.90630580858118,27.3225250825273,0.0,0.0,0.0
none_s0.0,0.5,nominal_causal_mpc,12,270.4276678756186,1831.8886426121962,1153.2996032582857,291506.23003250826,496.5308473548339,29.934507786338532,30.0,12.254456576481555,98.51190476190476,27.050906284245528,27.140566257531727,27.97902867097993,0.0,0.0,0.0001000000054998
none_s0.0,0.5,static_robust_mpc,12,275.17867721208967,1837.9551585248528,1174.8866947530948,300378.48286332766,503.3847808075821,29.147081662913134,7.0,3.438531967720543,99.65277777777779,26.938982423221713,27.047193086102954,27.66157171605885,0.0,0.0,0.0
none_s0.0,0.75,eact_mpc,12,263.4553089349743,1787.5590885091694,1131.1959309444926,284507.6126921284,461.1420304380356,20.99376201677597,0.0,7.486913027321407e-07,100.0,26.799968695213455,26.887086824334528,27.000000686955172,0.0,0.0,0.0
none_s0.0,0.75,nominal_causal_mpc,12,261.8806230968023,1781.7561799541425,1118.940786933205,279959.9066713821,458.5345775018923,17.798306424866272,1.0,0.12556302492972188,99.95039682539682,27.000000083042636,27.000000297307704,27.12545199726765,0.0,0.0,3.142544371031003e-07
none_s0.0,0.75,static_robust_mpc,12,262.1924022378566,1782.2062080245169,1126.4749438080212,282873.7126248803,457.30677600549757,19.476135964661562,0.0,5.268230331978431e-07,100.0,26.946216300957772,26.99899296578343,27.00000027552365,0.0,0.0,0.0
none_s0.0,1.0,eact_mpc,12,257.85202284294905,1761.5861475238655,1108.3889892129525,277280.8663607954,441.49713274863853,14.665718720869128,0.0,1.1230821677088443e-06,100.0,26.813847825206267,26.902320104456937,27.00000075144663,0.0,0.0,0.0
none_s0.0,1.0,nominal_causal_mpc,12,255.58176393962185,1755.0075459418997,1095.4634659813466,271872.4260081761,437.6528635705497,11.93139035659547,0.0,0.0002588452665115426,100.0,27.00000009324358,27.000000933332753,27.0000711787126,0.0,0.0,4.706332936779703e-05
none_s0.0,1.0,static_robust_mpc,12,257.034832182633,1756.0825146860334,1105.4457981683172,276382.9095304325,437.03567226677666,13.623546364898859,0.0,7.936241814832101e-07,100.0,26.94632596574876,26.99945841992781,27.00000016801365,0.0,0.0,0.0
