condition,availability,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,worst_case_improvement,worst_20pct_mean_improvement,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct,worst_case_relative_improvement_pct,worst_20pct_mean_relative_improvement_pct
adverse_bias_s1.0,0.75,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,0.75,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,0.75,temporal_rci_hi_pct,higher,12,0.006050497938581145,-0.0006559425141444327,0.016102371836989853,-0.0026255723435042455,-0.000875147481238514,0.02099609375,,,,,
adverse_bias_s1.0,1.0,common_cost,lower,12,-0.6531675419646632,-2.5788910273109997,1.5775958050962984,-5.832639338710777,-4.050703938172272,0.26611328125,-0.2094084873396227,-1.0990782308038054,1.0332671207278743,-2.67781572904175,-1.7813688368140588
adverse_bias_s1.0,1.0,e_grid_mwh,lower,12,-7.075320254822453,-17.85800985413114,3.359625112704064,-42.89084682308555,-23.34156414503593,0.06396484375,-0.6039605640986361,-2.390149623816469,1.2340218556502505,-6.249030977551648,-3.2614863858937624
adverse_bias_s1.0,1.0,co2_kg,lower,12,-2249.6136236237485,-6131.070614250634,987.5756549753742,-11733.757167864416,-8944.793188265738,0.2333984375,0.027634375753220485,-1.875860118919459,2.2373889303288044,-4.182604436709961,-2.9373831667777655
adverse_bias_s1.0,1.0,e_total_mwh,lower,12,-2.9329711965049037,-8.785451995167003,2.0757629295965745,-15.886712256945657,-13.06258727274303,0.2333984375,-0.1678362124759681,-0.5031264874823089,0.12274216183610046,-0.9881984512140214,-0.7315493114928568
adverse_bias_s1.0,1.0,e_cooling_mwh,lower,12,-1.0493294832327014,-6.103090021567174,3.684593460148403,-13.612333577004108,-9.540742693444619,0.5185546875,-0.34724165719028366,-1.5944925862412511,0.6905298743415962,-4.260029937964708,-2.5178563802763976
adverse_bias_s1.0,1.0,e_pump_mwh,lower,12,-1.883641713270917,-3.5715749815771445,-0.3878674470931898,-5.238290048346787,-4.143336891821356,0.0048828125,-16.323777585297993,-27.40477529828334,-3.3333695505557217,-47.54197184276311,-34.56872749608513
adverse_bias_s1.0,1.0,recommended_exceedance_degc_h,lower,12,4.81070861694614e-06,-2.3542630177194237e-06,1.823842024393968e-05,-1.1276042105379249e-05,-4.0526427487937635e-06,0.12939453125,,,,,
adverse_bias_s1.0,1.0,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,1.0,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,1.0,p95_t_inlet_c,lower,12,0.0825247023660672,0.022811851086017895,0.14816879437036393,-3.779618396038131e-09,2.1979963330901835e-08,0.0009765625,,,,,
adverse_bias_s1.0,1.0,p99_t_inlet_c,lower,12,0.03312686243519636,0.008024976377271642,0.06293703041532558,6.587904621824237e-08,8.708583839241631e-08,0.00048828125,,,,,
adverse_bias_s1.0,1.0,max_t_inlet_c,lower,12,3.716403955541144e-06,-3.636275643851642e-06,1.7146814571270914e-05,-1.1952865442310667e-05,-5.055079787060397e-06,0.2333984375,,,,,
adverse_bias_s1.0,1.0,min_allowable_headroom_c,higher,12,3.716403956133263e-06,-3.5072226200139053e-06,1.715825704629026e-05,-1.1952865438757954e-05,-5.055079787060397e-06,0.2333984375,,,,,
adverse_bias_s1.0,1.0,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
