country,algorithm,n_episodes,episode_return_mean,episode_return_std,e_grid_mwh_mean,e_grid_mwh_std,co2_kg_mean,co2_kg_std,e_total_mwh_mean,e_total_mwh_std,e_cooling_mwh_mean,e_cooling_mwh_std,e_pump_mwh_mean,e_pump_mwh_std,wind_utilization_pct_mean,wind_utilization_pct_std,sla_violation_mwh_mean,sla_violation_mwh_std,terminal_unserved_mwh_mean,terminal_unserved_mwh_std,thermal_violation_hours_mean,thermal_violation_hours_std,safety_interventions_mean,safety_interventions_std,safety_infeasible_hours_mean,safety_infeasible_hours_std,workload_interventions_mean,workload_interventions_std,recommended_compliance_pct_mean,recommended_compliance_pct_std,recommended_exceedance_hours_mean,recommended_exceedance_hours_std,recommended_exceedance_degc_h_mean,recommended_exceedance_degc_h_std,allowable_exceedance_hours_mean,allowable_exceedance_hours_std,allowable_exceedance_degc_h_mean,allowable_exceedance_degc_h_std,mean_t_inlet_c_mean,mean_t_inlet_c_std,p95_t_inlet_c_mean,p95_t_inlet_c_std,p99_t_inlet_c_mean,p99_t_inlet_c_std,max_t_inlet_c_mean,max_t_inlet_c_std,min_allowable_headroom_c_mean,min_allowable_headroom_c_std,temporal_rci_hi_pct_mean,temporal_rci_hi_pct_std,mean_abs_action_override_mean,mean_abs_action_override_std,accepted_plan_rate,solver_convergence_rate,solver_fallback_rate,solver_rule_fallbacks,solver_safe_recovery_fallbacks,solver_shifted_fallbacks,solve_time_mean_s,solve_time_p95_s,min_constraint,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,cooling_conductance_nominal_mw_per_k,cooling_conductance_multiplier,cooling_conductance_effective_mw_per_k,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
NOR,eact_mpc,4,-178.3480994123456,24.1158623188797,1429.3420841930038,223.47857913269746,1595.4718216481133,1054.8491531373825,1681.0602458220837,88.08504804541396,363.2122091181782,62.80079053469527,12.424740649547566,3.666647641633004,96.03463516346598,6.868213367423976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.5929215957963834e-07,2.524284628525178e-07,0.0,0.0,0.0,0.0,26.360736971497865,0.09110486321133603,26.93045698606892,0.08309147211558063,26.970947245055875,0.0503209156149446,27.00000024378221,2.9393773324173937e-07,4.999999756217788,2.9393773324173937e-07,99.99999995722713,3.005100755171323e-08,0.007736481260508299,0.0010175186573895868,0.9955357142857143,0.9627976190476191,0.004464285714285714,0,0,3,0.4645416898825455,1.0003917449503206,-1.4509237456439086,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,nominal_causal_mpc,4,-177.28651386108265,23.705668322191734,1419.39552767549,225.47798990958978,1591.1932973833475,1014.5780708537906,1671.9746463625988,87.20029561582304,356.56478212137745,62.038657115364934,9.986619686857955,3.3723907590507283,96.1613475859494,6.648741013732568,4.9999994245953044e-05,4.999999424595365e-05,4.9999994245953044e-05,4.999999424595365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.545377775817428e-05,3.341984531982771e-05,0.0,0.0,0.0,0.0,26.920612799650904,0.008263039206834077,27.000000177208246,3.9480446511304083e-08,27.000003446622937,5.164807341035528e-06,27.00004116059351,3.0975885837058045e-05,4.999958839406487,3.0975885837058045e-05,99.99999339835979,3.97855301206332e-06,0.007387011428363621,0.001528281422518927,0.9985119047619048,0.9672619047619048,0.001488095238095238,0,0,1,0.4521136775301351,1.1448659150279106,-0.0002701248378400578,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,static_robust_mpc,4,-179.2532954315565,25.88106662828533,1423.769725518754,224.7453544216088,1576.485744565077,1051.3794015261215,1677.1381752340246,88.47439336451987,360.64292762687114,62.7400848479858,11.07195155279529,4.446766216322444,96.27751835868075,6.447527333007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4047619047619,1.0309826235529025,1.0,1.7320508075688772,0.08260194824688405,0.14306822091761848,0.0,0.0,0.0,0.0,26.63556251539368,0.20559742677340628,27.000000062305432,2.7423101789811722e-08,27.025932672353623,0.04491634812813187,27.02931385741894,0.050772663203433,4.9706861425810605,0.050772663203433,99.99016643473253,0.017031931061627377,0.01170941669261083,0.007909449115703798,0.9866071428571429,0.9434523809523809,0.013392857142857142,0,0,9,0.46343360863240723,1.139003315049921,-0.15394614451359345,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
