country,mode,column,horizon,n_forecasts,mae,rmse,bias,coverage,mean_interval_width,adaptive_beta_floor
CHN,nominal,fixed_load_mw,1,8736,0.2633062852053254,0.3406833111066921,-0.00029308936389150163,,,0.1
CHN,nominal,fixed_load_mw,2,8736,0.3296451088922257,0.41672910860528617,-0.0004960528489951536,,,0.1
CHN,nominal,fixed_load_mw,3,8736,0.38324096366717736,0.4830339015035892,-0.0006552185225435921,,,0.1
CHN,nominal,fixed_load_mw,4,8736,0.4080804080596537,0.5186948192375238,-0.0007250184063019759,,,0.1
CHN,nominal,fixed_load_mw,5,8736,0.43341211133986,0.5512341809352216,-0.0007663976449635171,,,0.1
CHN,nominal,fixed_load_mw,6,8736,0.44547592862412094,0.5655937447440175,-0.0008019262547910818,,,0.1
CHN,nominal,fixed_load_mw,7,8736,0.4524667036482488,0.5755787883298568,-0.0007942602099412111,,,0.1
CHN,nominal,fixed_load_mw,8,8736,0.4554309073834468,0.5790868135775137,-0.0007453656830431355,,,0.1
CHN,nominal,fixed_load_mw,9,8736,0.4612478038363233,0.5847737698796321,-0.0007365205128089338,,,0.1
CHN,nominal,fixed_load_mw,10,8736,0.4582681579624593,0.5780435249381402,-0.0007067043634028866,,,0.1
CHN,nominal,fixed_load_mw,11,8736,0.4755843433697262,0.5973856621958199,-0.0006889639547189401,,,0.1
CHN,nominal,fixed_load_mw,12,8736,0.47873928246416586,0.6006409862766012,-0.0007022976519980193,,,0.1
CHN,nominal,fixed_load_mw,13,8736,0.4994736181611397,0.6276421169630223,-0.0007417514725312457,,,0.1
CHN,nominal,fixed_load_mw,14,8736,0.5160502003417866,0.6433673111587127,-0.00082025738635013,,,0.1
CHN,nominal,fixed_load_mw,15,8736,0.5267790100810514,0.6560030839662775,-0.0008686954871607431,,,0.1
CHN,nominal,fixed_load_mw,16,8736,0.530182675398035,0.6572234508894796,-0.000895742836027015,,,0.1
CHN,nominal,fixed_load_mw,17,8736,0.543303638391919,0.6720558270475072,-0.0009323397585490098,,,0.1
CHN,nominal,fixed_load_mw,18,8736,0.5588095175454945,0.6850614044134388,-0.0009638008867512006,,,0.1
CHN,nominal,fixed_load_mw,19,8736,0.5679482545331376,0.6946003506259455,-0.0010126583298409944,,,0.1
CHN,nominal,fixed_load_mw,20,8736,0.5694521986003778,0.7011160172296671,-0.0010595540590304252,,,0.1
CHN,nominal,fixed_load_mw,21,8736,0.5746027980865448,0.7060409790721082,-0.0011283761097190712,,,0.1
CHN,nominal,fixed_load_mw,22,8736,0.5739285589275097,0.705779980261995,-0.001123117182869986,,,0.1
CHN,nominal,fixed_load_mw,23,8736,0.5913468134827006,0.7234729363481198,-0.0011333458384144737,,,0.1
CHN,nominal,fixed_load_mw,24,8736,0.5929942542427707,0.7308885488607348,-0.0011484816308788882,,,0.1
CHN,nominal,flexible_arrival_mw,1,8736,0.1128455508022829,0.1460071333314392,-0.00012560972738235424,,,0.1
CHN,nominal,flexible_arrival_mw,2,8736,0.14127647523952536,0.17859818940226574,-0.000212594078140897,,,0.1
CHN,nominal,flexible_arrival_mw,3,8736,0.16424612728593205,0.20701452921582453,-0.00028080793823189864,,,0.1
CHN,nominal,flexible_arrival_mw,4,8736,0.1748916034541367,0.22229777967322442,-0.0003107221741287123,,,0.1
CHN,nominal,flexible_arrival_mw,5,8736,0.18574804771708217,0.23624322040080878,-0.0003284561335551256,,,0.1
CHN,nominal,flexible_arrival_mw,6,8736,0.1909182551246248,0.24239731917600768,-0.00034368268062495217,,,0.1
CHN,nominal,flexible_arrival_mw,7,8736,0.19391430156353645,0.24667662356993825,-0.0003403972328315043,,,0.1
CHN,nominal,flexible_arrival_mw,8,8736,0.19518467459290592,0.24818006296179138,-0.00031944243558986276,,,0.1
CHN,nominal,flexible_arrival_mw,9,8736,0.1976776302155658,0.25061732994841357,-0.00031565164834684053,,,0.1
CHN,nominal,flexible_arrival_mw,10,8736,0.19640063912676797,0.24773293925920317,-0.0003028732986016443,,,0.1
