country,mode,column,n_forecasts,mae,rmse,bias,coverage,mean_interval_width,adaptive_beta_floor
CHN,nominal,fixed_load_mw,209664,0.48707373092688333,0.6156157771191997,-0.0008308306831467971,,,0.1
CHN,nominal,flexible_arrival_mw,209664,0.20874588468294997,0.26383533305108564,-0.0003560702927771168,,,0.1
CHN,nominal,sst_c,209664,0.13488566932441765,0.1907017479118635,0.012819844313624788,,,0.1
CHN,nominal,wind_mw,209664,3.307550869907084,4.293427704296418,0.17136334736719191,,,0.1
CHN,nominal,carbon_kg_per_mwh,209664,24.936361247257338,32.744961025110356,-7.956764346894727,,,0.1
CHN,static,fixed_load_mw,209664,0.4870627472399004,0.6157226246531211,0.010778489503145264,0.8447516025641025,0.6327282900290677,0.1
CHN,static,flexible_arrival_mw,209664,0.20874117738587214,0.2638811248503858,0.004619352644378403,0.8447516025641025,0.27116926948822323,0.1
CHN,static,sst_c,209664,0.1404430731437314,0.19654945540052238,0.042635494470183236,0.7455929487179487,0.13818003643879787,0.1
CHN,static,wind_mw,209664,3.2791624856644472,4.3357890259303105,0.5809983227367098,0.8829508165445665,3.1380288465356863,0.1
CHN,static,carbon_kg_per_mwh,209664,24.836523458916947,32.57071121636899,-7.3759197158487835,0.8933245573870574,29.52227467521974,0.1
CHN,adaptive,fixed_load_mw,209664,0.5018361562551709,0.6433250038193927,-0.0015462023150466973,0.8960336538461539,0.813079157176147,0.1
CHN,adaptive,flexible_arrival_mw,209664,0.21507263839501534,0.2757107159225432,-0.0006626581350941267,0.8960336538461539,0.34846249595343887,0.1
CHN,adaptive,sst_c,209664,0.16060718690798767,0.2356883795884886,-0.0002497753308543545,0.8897426358363858,0.2486934844941334,0.1
CHN,adaptive,wind_mw,209664,3.4330783385555335,5.075233308225691,0.05796161462067539,0.8943881639194139,3.6400274750777735,0.1
CHN,adaptive,carbon_kg_per_mwh,209664,28.12628791925701,37.039631805973684,-0.004019507648632788,0.8936107295482295,43.731285601964146,0.1
USA,nominal,fixed_load_mw,209664,0.48707373092688333,0.6156157771191997,-0.0008308306831467971,,,0.1
USA,nominal,flexible_arrival_mw,209664,0.20874588468294997,0.26383533305108564,-0.0003560702927771168,,,0.1
USA,nominal,sst_c,209664,0.13655571309913742,0.20107671606747043,0.0010632423082486103,,,0.1
USA,nominal,wind_mw,209664,1.784912587696987,2.84310122731679,-0.13911779195573087,,,0.1
USA,nominal,carbon_kg_per_mwh,209664,22.38403576271931,29.174091732191542,-5.154178714901225,,,0.1
USA,static,fixed_load_mw,209664,0.4870627472399004,0.6157226246531211,0.010778489503145264,0.8447516025641025,0.6327282900290677,0.1
USA,static,flexible_arrival_mw,209664,0.20874117738587214,0.2638811248503858,0.004619352644378403,0.8447516025641025,0.27116926948822323,0.1
USA,static,sst_c,209664,0.13726464854199025,0.2025114969653199,-0.020663562270708515,0.8537660256410257,0.137618055059607,0.1
USA,static,wind_mw,209664,1.61416939500044,2.8812871687496586,0.44963387604525523,0.9357925061050061,1.0758135184734554,0.1
USA,static,carbon_kg_per_mwh,209664,21.85138857571529,28.66838266177584,-0.22842239195672975,0.8926711309523809,34.5437854819163,0.1
USA,adaptive,fixed_load_mw,209664,0.5018361562551709,0.6433250038193927,-0.0015462023150466973,0.8960336538461539,0.813079157176147,0.1
USA,adaptive,flexible_arrival_mw,209664,0.21507263839501534,0.2757107159225432,-0.0006626581350941267,0.8960336538461539,0.34846249595343887,0.1
USA,adaptive,sst_c,209664,0.16898336899572264,0.2539555272097179,0.0007177420205361728,0.8928952991452992,0.25534173400864263,0.1
USA,adaptive,wind_mw,209664,1.7809563768960757,3.2807110003629707,-0.10810703301512221,0.8937061202686203,1.2830553191271952,0.1
USA,adaptive,carbon_kg_per_mwh,209664,25.67116398199049,34.02906663719025,-0.0005748210491870892,0.8937251984126984,40.69556365428835,0.1
JPN,nominal,fixed_load_mw,209664,0.48707373092688333,0.6156157771191997,-0.0008308306831467971,,,0.1
JPN,nominal,flexible_arrival_mw,209664,0.20874588468294997,0.26383533305108564,-0.0003560702927771168,,,0.1
JPN,nominal,sst_c,209664,0.15119878924747657,0.23303643205497038,-0.00365328953138389,,,0.1
JPN,nominal,wind_mw,209664,3.4545719744970924,4.522376581630553,0.17665686303439967,,,0.1
JPN,nominal,carbon_kg_per_mwh,209664,24.977963559354055,38.8062336120062,-2.205107544692832,,,0.1
JPN,static,fixed_load_mw,209664,0.4870627472399004,0.6157226246531211,0.010778489503145264,0.8447516025641025,0.6327282900290677,0.1
JPN,static,flexible_arrival_mw,209664,0.20874117738587214,0.2638811248503858,0.004619352644378403,0.8447516025641025,0.27116926948822323,0.1
