setting,scenario,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct
high_total,none,e_total_mwh,lower,12,1.26488213835889,-5.039907675184971,9.84246964722331,0.38037109375,0.07316672849901591,-0.31330172754950536,0.5981725401955064
high_total,none,recommended_exceedance_degc_h,lower,12,2.2603041601361914e-07,-2.2101478780456318e-07,1.0122595905196856e-06,0.51953125,,,
high_total,none,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
high_total,none,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
high_total,none,p95_t_inlet_c,lower,12,0.07018029246191955,0.00684884484656514,0.1194351237401244,0.02099609375,,,
high_total,none,p99_t_inlet_c,lower,12,0.05612256567938475,0.01815370990920026,0.09412907151712563,0.04248046875,,,
high_total,none,max_t_inlet_c,lower,12,1.5571394366512928e-07,-2.4818015595950984e-07,7.421666540589437e-07,0.38037109375,,,
high_total,none,min_allowable_headroom_c,higher,12,1.5571394388717388e-07,-2.502158258366194e-07,7.407014213830129e-07,0.38037109375,,,
high_total,none,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
high_total,none,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
high_total,none,temporal_rci_hi_pct,higher,12,2.690838130092743e-08,-2.6188273475706108e-08,1.204244751325708e-07,0.51953125,,,
low_carbon,adverse_bias,common_cost,lower,12,-0.7520531062982379,-1.4768871315592444,-0.1496104991765587,0.01220703125,-0.4344450132571161,-0.8912193693888725,-0.008176005198627873
low_carbon,adverse_bias,e_grid_mwh,lower,12,-4.4113186379483595,-8.249001125878749,-1.0380053363281263,0.00341796875,-0.5073486899078363,-1.1534609244003025,0.029433152749924654
low_carbon,adverse_bias,co2_kg,lower,12,-1272.5811776238222,-3329.7452026408864,112.14771830880272,0.05224609375,-0.6958748263698858,-1.4806483746175316,0.01924769787400279
low_carbon,adverse_bias,e_total_mwh,lower,12,-4.3973842871311986,-10.491733868346387,0.8223566473475709,0.02099609375,-0.2834075759148895,-0.6462883534842767,0.04297286294129611
