country,city,years,rows,sst_mean,wind_cf,ci_mean,price
USA,Los Angeles,2024,8784,17.70780965391621,0.14767577903024243,165.12204007285973,127.5
CHN,Shanghai,2024,8784,19.112602459016394,0.3969212286791348,465.1672358834244,55.65
GBR,Cardiff,2024,8784,12.931591530054645,0.4389425589924264,112.20264116575592,305.2564102564103
AUS,Sydney,2024,8784,21.17009335154827,0.37890637264809235,499.18966302367943,236.8421052631579
JPN,Tokyo,2024,8784,18.691313752276866,0.3254910000172719,451.78836520947175,130.8493536808262
IRL,Dublin,2024,8784,11.787795992714026,0.5062356050851762,284.3534836065574,269.3478260869565
NOR,Oslo,2024,8784,9.558709016393442,0.14673214731600542,2.203096539162113,80.86956521739128
IND,Mumbai,2024,8784,28.648508652094716,0.23858516979176528,605.7199453551913,106.95
MYS,Johor Bahru,2024,8784,29.961407103825138,0.0886283941849161,566.3860428051001,113.71
PRT,Lisbon,2024,8784,17.326172586520947,0.46112550130679375,59.34892987249545,123.15217391304347
KOR,Incheon,2024,8784,15.344797358834242,0.30009365671688176,356.50603369763206,126.88318737255938
NLD,Amsterdam,2024,8784,13.061281876138436,0.5284427318855796,190.10154826958106,174.89130434782606
CAN,Vancouver,2024,8784,11.821300091074683,0.11222244717066752,24.824681238615664,83.06569343065692
IDN,Jakarta,2024,8784,30.015118397085615,0.07902205092707101,583.5408697632058,78.14
SGP,Singapore,2024,8784,29.961407103825138,0.0886283941849161,366.93886612021856,188.06
