country,algorithm,n_episodes,episode_return_mean,episode_return_std,e_grid_mwh_mean,e_grid_mwh_std,co2_kg_mean,co2_kg_std,e_total_mwh_mean,e_total_mwh_std,e_cooling_mwh_mean,e_cooling_mwh_std,e_pump_mwh_mean,e_pump_mwh_std,wind_utilization_pct_mean,wind_utilization_pct_std,sla_violation_mwh_mean,sla_violation_mwh_std,terminal_unserved_mwh_mean,terminal_unserved_mwh_std,thermal_violation_hours_mean,thermal_violation_hours_std,safety_interventions_mean,safety_interventions_std,safety_infeasible_hours_mean,safety_infeasible_hours_std,workload_interventions_mean,workload_interventions_std,recommended_compliance_pct_mean,recommended_compliance_pct_std,recommended_exceedance_hours_mean,recommended_exceedance_hours_std,recommended_exceedance_degc_h_mean,recommended_exceedance_degc_h_std,allowable_exceedance_hours_mean,allowable_exceedance_hours_std,allowable_exceedance_degc_h_mean,allowable_exceedance_degc_h_std,mean_t_inlet_c_mean,mean_t_inlet_c_std,p95_t_inlet_c_mean,p95_t_inlet_c_std,p99_t_inlet_c_mean,p99_t_inlet_c_std,max_t_inlet_c_mean,max_t_inlet_c_std,min_allowable_headroom_c_mean,min_allowable_headroom_c_std,temporal_rci_hi_pct_mean,temporal_rci_hi_pct_std,mean_abs_action_override_mean,mean_abs_action_override_std,accepted_plan_rate,solver_convergence_rate,solver_fallback_rate,solver_rule_fallbacks,solver_safe_recovery_fallbacks,solver_shifted_fallbacks,solve_time_mean_s,solve_time_p95_s,min_constraint,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
IDN,eact_mpc,4,-556.1023186544777,106.04919449811742,1547.1183143861867,304.5685556746488,914394.9191432743,185936.9196718217,1739.315214734462,113.67892738870093,540.1484094719302,41.89233267029907,19.348987051249086,2.9821078086441477,99.15990809751062,1.4550818581388076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.2689649331321107e-08,1.0408033807434796e-08,0.0,0.0,0.0,0.0,26.503698444012254,0.0616199617563747,26.91432103905469,0.07662173372602805,26.956283474580516,0.04644281418969314,27.000000012010375,1.0163049218762073e-08,4.999999987989622,1.0163049218761724e-08,99.99999999848932,1.239050580137662e-09,0.010119086364284158,0.006828128881712802,1.0,0.9806547619047619,0.0,0,0,0,0.6539068662222278,1.1331615900213348,-4.104305632779415e-05,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IDN,nominal_causal_mpc,4,-552.8093627693135,107.02647772266307,1533.8075800214226,307.2824444457871,907135.8889374327,187732.29918812306,1731.153423338673,112.04692032850912,535.7835678529194,40.56642168492636,15.55209481892512,2.4385138398207222,99.99420690695757,0.010033931482460592,5.586840164167836e-05,4.490517476146143e-05,5.586840164167836e-05,4.490517476146143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.55357142857144,0.25774565588822257,0.75,0.4330127018922193,0.17064999549551274,0.15982614958063077,0.0,0.0,0.0,0.0,26.794707905150478,0.16225037181012955,27.000000152392623,2.592964608269643e-08,27.00000095026762,9.014815868668068e-07,27.17064333756452,0.159823987858603,4.829356662435483,0.159823987858603,99.97968452434577,0.01902692256912335,0.02093429327942431,0.007494511799513225,0.9955357142857143,0.9389880952380952,0.004464285714285714,0,2,1,0.6625237587799174,1.5239704300067387,-0.014358487365310424,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IDN,static_robust_mpc,4,-553.483451826606,107.01433537593601,1537.8138773782402,306.3725850364965,909268.3080145335,186904.85189389178,1730.978534070512,112.10128555630023,534.6827197438384,41.12797723942932,16.47799611539018,2.3457049420278717,99.31671658626169,1.1834815885638652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85119047619048,0.25774565588822257,0.25,0.4330127018922193,0.05149567525467624,0.08919004062590062,0.0,0.0,0.0,0.0,26.721861955745958,0.05865665050110484,27.00000004586528,1.7402334264795674e-08,27.00000025531656,1.3513708337943623e-07,27.05149426009298,0.0891898904837671,4.9485057399070245,0.0891898904837671,99.99386956246968,0.010617861979275032,0.016135744052007794,0.0032160636265829317,0.9985119047619048,0.9747023809523809,0.001488095238095238,0,1,0,0.6578987922584929,1.0467812450311607,-0.07166241016603779,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
