country,algorithm,n_episodes,episode_return_mean,episode_return_std,e_grid_mwh_mean,e_grid_mwh_std,co2_kg_mean,co2_kg_std,e_total_mwh_mean,e_total_mwh_std,e_cooling_mwh_mean,e_cooling_mwh_std,e_pump_mwh_mean,e_pump_mwh_std,wind_utilization_pct_mean,wind_utilization_pct_std,sla_violation_mwh_mean,sla_violation_mwh_std,terminal_unserved_mwh_mean,terminal_unserved_mwh_std,thermal_violation_hours_mean,thermal_violation_hours_std,safety_interventions_mean,safety_interventions_std,safety_infeasible_hours_mean,safety_infeasible_hours_std,workload_interventions_mean,workload_interventions_std,recommended_compliance_pct_mean,recommended_compliance_pct_std,recommended_exceedance_hours_mean,recommended_exceedance_hours_std,recommended_exceedance_degc_h_mean,recommended_exceedance_degc_h_std,allowable_exceedance_hours_mean,allowable_exceedance_hours_std,allowable_exceedance_degc_h_mean,allowable_exceedance_degc_h_std,mean_t_inlet_c_mean,mean_t_inlet_c_std,p95_t_inlet_c_mean,p95_t_inlet_c_std,p99_t_inlet_c_mean,p99_t_inlet_c_std,max_t_inlet_c_mean,max_t_inlet_c_std,min_allowable_headroom_c_mean,min_allowable_headroom_c_std,temporal_rci_hi_pct_mean,temporal_rci_hi_pct_std,mean_abs_action_override_mean,mean_abs_action_override_std,accepted_plan_rate,solver_convergence_rate,solver_fallback_rate,solver_rule_fallbacks,solver_safe_recovery_fallbacks,solver_shifted_fallbacks,solve_time_mean_s,solve_time_p95_s,min_constraint,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
NLD,eact_mpc,4,-223.9456509962738,48.61842464157256,910.7491596219143,197.21288732671343,254408.85793677016,81754.78426066236,1498.090222445583,96.16459121608919,310.5853403780345,46.05917482126611,7.687063856266557,2.293485657172323,84.74758315605487,10.737981983157917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.1764341201778734e-07,4.400997834055175e-07,0.0,0.0,0.0,0.0,25.978168185713717,0.3344689045064142,26.89744168724509,0.10349569145369514,26.940612847551993,0.05943301279370493,27.000000240955615,3.428138371694974e-07,4.999999759044384,3.4281383716949747e-07,99.99999996218531,5.2392825927200525e-08,0.021589226089417934,0.005917622547583767,1.0,0.9568452380952381,0.0,0,0,0,0.5657030635392446,1.4254903350083619,-6.63775933773536e-05,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NLD,nominal_causal_mpc,4,-220.6377753863518,54.74690925267606,900.0359444235237,233.14356753716808,249348.5631389981,85591.74352515895,1487.6354493835863,96.07167913669313,302.2726757491881,45.751149158840185,5.5449630041392926,1.640699378130032,84.18407030583097,11.56450261825889,7.360219011373235e-06,1.2715577699351692e-05,7.360219011373235e-06,1.2715577699351692e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.718184073051248e-06,7.038813038480498e-06,0.0,0.0,0.0,0.0,26.678247498212073,0.09057159570124722,27.000000137811263,7.892474713410855e-08,27.000000506248377,3.309786392990933e-07,27.000003359181946,5.007331438141004e-06,4.999996640818056,5.007331438141005e-06,99.99999920021618,8.379539380728585e-07,0.020105159608647227,0.007823888382440004,1.0,0.9583333333333334,0.0,0,0,0,0.48723376636674703,1.3822067249740932,-5.2325992818680334e-05,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NLD,static_robust_mpc,4,-223.27330183342767,49.523824417482864,908.8391425727259,199.59567774223845,252235.3402967635,84457.8030580659,1499.5246991853646,93.93520814263849,311.2548441568316,46.252786415073395,8.452036817250296,3.2250470481329065,84.92320951506002,10.164302175583533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.13177087818417e-07,1.5881968161013892e-07,0.0,0.0,0.0,0.0,25.921555387654386,0.5725246104120532,26.95052716525779,0.0589203314172862,26.98206564205038,0.03089277678281683,27.00000015468296,6.718188038701829e-08,4.999999845317039,6.718188038701827e-08,99.99999996271701,1.890710225386302e-08,0.018317738315090537,0.00790139433005502,1.0,0.9642857142857143,0.0,0,0,0,0.5295729188986852,1.2820648849825371,-5.638513776062837e-05,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
