country,start_hour,quarter,start_timestamp,pair_id,static_recommended_exceedance_hours,eact_recommended_exceedance_hours,static_recommended_exceedance_degc_h,eact_recommended_exceedance_degc_h,static_p95_t_inlet_c,eact_p95_t_inlet_c,static_e_total_mwh,eact_e_total_mwh,event_hour_reduction,degree_hour_reduction,degree_hour_reduction_solver_scale,p95_reduction_c,facility_energy_increase_mwh,static_degree_hour_share_pct,degree_hour_reduction_share_pct
CHN,1843,Q1,2025-03-18T19:00:00,CHN_Q1,0.0,0.0,2.05261083792152e-05,0.0,27.000000067571214,26.92778042553764,1647.769332388676,1660.6133496714406,0.0,2.05261083792152e-05,0.0,0.07221964203357345,12.844017282764526,0.00011289449090082804,0.0001230459682875259
CHN,3859,Q2,2025-06-10T19:00:00,CHN_Q2,3.0,0.0,0.3550860231825403,0.0,27.000000070764017,26.94948070292205,1959.4493693410536,1973.3495519910684,3.0,0.3550860231825403,0.3550860231825403,0.05051936784196798,13.900182650014813,1.952988607123647,2.1286014251052623
CHN,4531,Q3,2025-07-08T19:00:00,CHN_Q3,0.0,0.0,3.508767747462116e-07,5.168594441329333e-09,27.000000017995745,26.77630714326555,2150.778429324474,2161.5152545694177,0.0,3.4570818030488226e-07,0.0,0.22369287473019384,10.736825244943702,1.929837557225868e-06,2.0723849355490564e-06
CHN,6552,Q4,2025-10-01T00:00:00,CHN_Q4,18.0,0.0,9.127299110298932,2.686465467860444e-06,27.526948812082967,26.999999967674302,1993.7674843253735,2009.4412978804696,18.0,9.127296423833464,9.127296423833464,0.5269488444086647,15.673813555096103,50.20054300211076,54.71456184334934
JPN,1843,Q1,2025-03-18T19:00:00,JPN_Q1,0.0,0.0,1.1438976187605476e-05,9.108386933576185e-09,27.000000013327288,26.99582401592836,1656.4958881704013,1658.4966370926286,0.0,1.14298678006719e-05,0.0,0.004175997398927933,2.0007489222273307,6.291486770254454e-05,6.851757405491498e-05
JPN,3859,Q2,2025-06-10T19:00:00,JPN_Q2,2.0,0.0,0.364867044152291,1.761498324981403e-08,27.000000071867262,26.929673589862524,1867.8269119827853,1872.8765035337824,2.0,0.36486702653730774,0.36486702653730774,0.07032648200473801,5.049591550997093,2.0067846488510925,2.187234703580474
JPN,4531,Q3,2025-07-08T19:00:00,JPN_Q3,12.0,7.0,1.7210199488377675,1.500011666867458,27.036617303038785,27.00001609959918,2005.5475710800465,2029.3590833676087,5.0,0.22100828197030964,0.22100828197030964,0.03660120343960571,23.81151228756221,9.465684744749339,1.3248579590535638
JPN,6552,Q4,2025-10-01T00:00:00,JPN_Q4,10.0,0.0,6.613355939422821,1.0207041256649064e-07,27.4440138951487,26.99615385820215,1863.3533209131688,1883.451574947367,10.0,6.613355837352408,6.613355837352408,0.4478600369465511,20.098254034198135,36.373745969456536,39.644474130371016
NOR,1843,Q1,2025-03-18T19:00:00,NOR_Q1,0.0,0.0,1.1728650761710924e-06,0.0,27.00000003657077,26.98745604982274,1574.976177853384,1581.270257013775,0.0,1.1728650761710924e-06,0.0,0.012543986748031699,6.29407916039122,6.450809048819754e-06,7.030866070756503e-06
NOR,3859,Q2,2025-06-10T19:00:00,NOR_Q2,0.0,0.0,2.0673186682529376e-06,1.214086786660573e-07,27.00000007049558,26.999999959063377,1763.6538583005724,1771.9355811609282,0.0,1.9459099895868803e-06,0.0,1.1143220390863462e-07,8.281722860355785,1.1370342798078741e-05,1.1664967096809309e-05
NOR,4531,Q3,2025-07-08T19:00:00,NOR_Q3,0.0,0.0,2.0600416092975138e-06,8.387618386507256e-07,27.00000005961073,27.00000001103137,1837.9380303681148,1846.4960630103355,0.0,1.2212797706467882e-06,0.0,4.857935920199452e-08,8.558032642220724,1.133031865658781e-05,7.321093173286033e-06
NOR,6552,Q4,2025-10-01T00:00:00,NOR_Q4,0.0,0.0,8.388486595123368e-06,0.0,27.0000000423231,26.99963903963798,1673.044482786251,1677.9538957289676,0.0,8.388486595123368e-06,0.0,0.0003610026851212922,4.909412942716699,4.613704196085325e-05,5.0285686721261986e-05
