timestamp,hour,fixed_load_mw,flexible_arrival_mw,sst_c,wind_mw,carbon_kg_per_mwh,price_usd_per_mwh
2025-01-01 00:00:00,0,3.320132389,1.422913881,28.4,1.4173022253780636,564.0,113.71
2025-01-01 01:00:00,1,3.7900010797652386,1.624286177042245,28.4,1.2656882007583186,545.0,113.71
2025-01-01 02:00:00,2,3.6190419630609316,1.5510179841689709,28.5,1.38620921987874,528.0,113.71
2025-01-01 03:00:00,3,3.6575187171370116,1.5675080216301478,28.5,1.7822269806894075,517.0,113.71
2025-01-01 04:00:00,4,3.5291020739933585,1.512472317425725,28.5,2.0254548595393125,510.0,113.71
2025-01-01 05:00:00,5,3.4939466818798133,1.4974057208056342,28.6,2.1415147317004943,506.0,113.71
2025-01-01 06:00:00,6,3.309948517796167,1.4185493647697858,28.6,2.148614814658407,509.0,113.71
2025-01-01 07:00:00,7,3.5865759219921642,1.5371039665680704,28.6,1.87292295306563,509.0,113.71
2025-01-01 08:00:00,8,4.010788451717506,1.7189093364503594,28.6,1.7558802962780675,507.0,113.71
2025-01-01 09:00:00,9,4.09767712997184,1.7561473414165032,28.6,1.2466357939400319,526.0,113.71
2025-01-01 10:00:00,10,4.158172177754778,1.7820737904663333,28.6,1.4585166314018272,528.0,113.71
2025-01-01 11:00:00,11,4.260288202565879,1.825837801099662,28.5,1.3012110621044075,516.0,113.71
2025-01-01 12:00:00,12,4.081555924404652,1.7492382533162796,28.5,1.7581817964085846,524.0,113.71
2025-01-01 13:00:00,13,4.810985511770571,2.061850933615959,28.5,1.685951830697061,532.0,113.71
2025-01-01 14:00:00,14,5.063022217163054,2.1698666644984517,28.5,2.497589643452099,540.0,113.71
2025-01-01 15:00:00,15,4.521929068331474,1.937969600713489,28.5,2.80995078880357,546.0,113.71
2025-01-01 16:00:00,16,4.478274872775162,1.9192606597607835,28.5,2.2955349783237873,563.0,113.71
2025-01-01 17:00:00,17,4.7200393989934,2.0228740281400284,28.5,1.935725601726275,573.0,113.71
2025-01-01 18:00:00,18,5.357869476985421,2.2962297758508945,28.5,2.279364033802695,571.0,113.71
2025-01-01 19:00:00,19,5.521982175250417,2.3665637893930356,28.5,2.350177163256656,564.0,113.71
2025-01-01 20:00:00,20,5.365573727537532,2.299531597516085,28.5,2.3534326607412517,566.0,113.71
2025-01-01 21:00:00,21,5.02899024009586,2.155281531469654,28.5,2.586881687247793,565.0,113.71
2025-01-01 22:00:00,22,5.221713144674453,2.237877062003337,28.5,3.28204317083117,559.0,113.71
2025-01-01 23:00:00,23,4.872964913522315,2.088413534366706,28.5,3.146474716566988,571.0,113.71
2025-01-02 00:00:00,24,5.205925613138405,2.2311109770593163,28.5,3.2353060349341254,563.0,113.71
2025-01-02 01:00:00,25,5.417206473771633,2.3216599173306998,28.5,3.7322287809118304,557.0,113.71
2025-01-02 02:00:00,26,4.900561766170865,2.1002407569303707,28.5,3.7084964579106563,539.0,113.71
2025-01-02 03:00:00,27,4.708574495584919,2.0179604981078225,28.5,3.456138184047433,528.0,113.71
2025-01-02 04:00:00,28,4.267959384762572,1.8291254506125307,28.6,2.9209079683240273,527.0,113.71
2025-01-02 05:00:00,29,4.986277957952545,2.1369762676939477,28.6,2.8857125856236223,529.0,113.71
2025-01-02 06:00:00,30,4.701958600153519,2.0151251143515077,28.6,3.159132771268876,526.0,113.71
2025-01-02 07:00:00,31,4.755831443614129,2.038213475834627,28.6,2.7086997549517493,524.0,113.71
2025-01-02 08:00:00,32,3.942078859582964,1.6894623683926988,28.6,2.534378120424015,526.0,113.71
2025-01-02 09:00:00,33,4.251536066808562,1.822086885775098,28.6,3.258509499225552,546.0,113.71
2025-01-02 10:00:00,34,4.25293690903942,1.82268724673118,28.5,1.2509407960183705,560.0,113.71
2025-01-02 11:00:00,35,4.034025380023985,1.7288680200102793,28.5,1.5964517343351852,549.0,113.71
2025-01-02 12:00:00,36,4.294798489010661,1.8406279238617116,28.5,1.3268587211823384,542.0,113.71
2025-01-02 13:00:00,37,4.818139838247802,2.0649170735347724,28.5,1.3412226211419789,549.0,113.71
2025-01-02 14:00:00,38,4.644686594983718,1.9905799692787365,28.5,2.1626592150545254,555.0,113.71
2025-01-02 15:00:00,39,4.880857243716674,2.0917959615928603,28.5,3.031551997659913,565.0,113.71
