timestamp,hour,fixed_load_mw,flexible_arrival_mw,sst_c,wind_mw,carbon_kg_per_mwh,price_usd_per_mwh
2025-01-01 00:00:00,0,3.320132389,1.422913881,29.3,1.392137266723912,590.0,78.14
2025-01-01 01:00:00,1,3.7900010797652386,1.624286177042245,29.3,1.2462851298065194,584.0,78.14
2025-01-01 02:00:00,2,3.6190419630609316,1.5510179841689709,29.3,1.2035211031378605,586.0,78.14
2025-01-01 03:00:00,3,3.6575187171370116,1.5675080216301478,29.4,1.0951471681394236,585.0,78.14
2025-01-01 04:00:00,4,3.5291020739933585,1.512472317425725,29.4,1.6650031593244043,584.0,78.14
2025-01-01 05:00:00,5,3.4939466818798133,1.4974057208056342,29.4,3.4755866422906734,582.0,78.14
2025-01-01 06:00:00,6,3.309948517796167,1.4185493647697858,29.4,4.480573752239597,587.0,78.14
2025-01-01 07:00:00,7,3.5865759219921642,1.5371039665680704,29.4,4.998625658500424,585.0,78.14
2025-01-01 08:00:00,8,4.010788451717506,1.7189093364503594,29.3,5.15967420718992,588.0,78.14
2025-01-01 09:00:00,9,4.09767712997184,1.7561473414165032,29.3,4.357794975896625,585.0,78.14
2025-01-01 10:00:00,10,4.158172177754778,1.7820737904663333,29.3,2.068982539858088,581.0,78.14
2025-01-01 11:00:00,11,4.260288202565879,1.825837801099662,29.2,1.619352688877009,577.0,78.14
2025-01-01 12:00:00,12,4.081555924404652,1.7492382533162796,29.2,1.1198081121916361,580.0,78.14
2025-01-01 13:00:00,13,4.810985511770571,2.061850933615959,29.2,0.696416420079877,580.0,78.14
2025-01-01 14:00:00,14,5.063022217163054,2.1698666644984517,29.2,0.4598452603924267,583.0,78.14
2025-01-01 15:00:00,15,4.521929068331474,1.937969600713489,29.2,0.32406741359659563,585.0,78.14
2025-01-01 16:00:00,16,4.478274872775162,1.9192606597607835,29.2,0.22326429104011658,592.0,78.14
2025-01-01 17:00:00,17,4.7200393989934,2.0228740281400284,29.2,0.19929739936144086,589.0,78.14
2025-01-01 18:00:00,18,5.357869476985421,2.2962297758508945,29.2,0.225225997492613,591.0,78.14
2025-01-01 19:00:00,19,5.521982175250417,2.3665637893930356,29.2,0.2752006472758751,590.0,78.14
2025-01-01 20:00:00,20,5.365573727537532,2.299531597516085,29.2,0.5044857334836437,589.0,78.14
2025-01-01 21:00:00,21,5.02899024009586,2.155281531469654,29.2,0.731717214985156,588.0,78.14
2025-01-01 22:00:00,22,5.221713144674453,2.237877062003337,29.2,0.8041941197071732,588.0,78.14
2025-01-01 23:00:00,23,4.872964913522315,2.088413534366706,29.2,1.2252306656042637,589.0,78.14
2025-01-02 00:00:00,24,5.205925613138405,2.2311109770593163,29.2,1.1818500638643508,584.0,78.14
2025-01-02 01:00:00,25,5.417206473771633,2.3216599173306998,29.2,1.09136279276897,583.0,78.14
2025-01-02 02:00:00,26,4.900561766170865,2.1002407569303707,29.3,1.0529015606919452,584.0,78.14
2025-01-02 03:00:00,27,4.708574495584919,2.0179604981078225,29.4,0.86821922442523,583.0,78.14
2025-01-02 04:00:00,28,4.267959384762572,1.8291254506125307,29.5,0.7721605368479385,579.0,78.14
2025-01-02 05:00:00,29,4.986277957952545,2.1369762676939477,29.5,0.7339921898417296,576.0,78.14
2025-01-02 06:00:00,30,4.701958600153519,2.0151251143515077,29.5,0.6454827804344995,579.0,78.14
2025-01-02 07:00:00,31,4.755831443614129,2.038213475834627,29.5,0.3648623495504463,578.0,78.14
2025-01-02 08:00:00,32,3.942078859582964,1.6894623683926988,29.6,0.06578597312934677,582.0,78.14
2025-01-02 09:00:00,33,4.251536066808562,1.822086885775098,29.6,0.0,580.0,78.14
2025-01-02 10:00:00,34,4.25293690903942,1.82268724673118,29.6,0.0,577.0,78.14
2025-01-02 11:00:00,35,4.034025380023985,1.7288680200102793,29.5,0.0,572.0,78.14
2025-01-02 12:00:00,36,4.294798489010661,1.8406279238617116,29.5,0.0,570.0,78.14
2025-01-02 13:00:00,37,4.818139838247802,2.0649170735347724,29.5,0.0,570.0,78.14
2025-01-02 14:00:00,38,4.644686594983718,1.9905799692787365,29.5,0.0,576.0,78.14
