timestamp,hour,fixed_load_mw,flexible_arrival_mw,sst_c,wind_mw,carbon_kg_per_mwh,price_usd_per_mwh
2025-01-01 00:00:00,0,3.320132389,1.422913881,9.0,15.0,49.0,305.2564102564103
2025-01-01 01:00:00,1,3.7900010797652386,1.624286177042245,9.0,15.0,49.0,305.2564102564103
2025-01-01 02:00:00,2,3.6190419630609316,1.5510179841689709,9.0,15.0,46.0,305.2564102564103
2025-01-01 03:00:00,3,3.6575187171370116,1.5675080216301478,9.1,15.0,42.0,305.2564102564103
2025-01-01 04:00:00,4,3.5291020739933585,1.512472317425725,9.1,15.0,42.0,305.2564102564103
2025-01-01 05:00:00,5,3.4939466818798133,1.4974057208056342,9.1,15.0,42.0,305.2564102564103
2025-01-01 06:00:00,6,3.309948517796167,1.4185493647697858,9.1,15.0,39.0,305.2564102564103
2025-01-01 07:00:00,7,3.5865759219921642,1.5371039665680704,9.1,15.0,39.0,305.2564102564103
2025-01-01 08:00:00,8,4.010788451717506,1.7189093364503594,9.1,15.0,45.0,305.2564102564103
2025-01-01 09:00:00,9,4.09767712997184,1.7561473414165032,9.1,15.0,37.0,305.2564102564103
2025-01-01 10:00:00,10,4.158172177754778,1.7820737904663333,9.0,15.0,38.0,305.2564102564103
2025-01-01 11:00:00,11,4.260288202565879,1.825837801099662,9.0,15.0,29.0,305.2564102564103
2025-01-01 12:00:00,12,4.081555924404652,1.7492382533162796,9.0,13.186084886899435,33.0,305.2564102564103
2025-01-01 13:00:00,13,4.810985511770571,2.061850933615959,9.0,15.0,35.0,305.2564102564103
2025-01-01 14:00:00,14,5.063022217163054,2.1698666644984517,9.0,15.0,39.0,305.2564102564103
2025-01-01 15:00:00,15,4.521929068331474,1.937969600713489,9.1,15.0,63.0,305.2564102564103
2025-01-01 16:00:00,16,4.478274872775162,1.9192606597607835,9.1,15.0,79.0,305.2564102564103
2025-01-01 17:00:00,17,4.7200393989934,2.0228740281400284,9.1,15.0,92.0,305.2564102564103
2025-01-01 18:00:00,18,5.357869476985421,2.2962297758508945,9.1,12.133155688160418,92.0,305.2564102564103
2025-01-01 19:00:00,19,5.521982175250417,2.3665637893930356,9.1,8.17989321950024,85.0,305.2564102564103
2025-01-01 20:00:00,20,5.365573727537532,2.299531597516085,9.0,4.990431478201221,81.0,305.2564102564103
2025-01-01 21:00:00,21,5.02899024009586,2.155281531469654,9.0,3.5733247233209675,76.0,305.2564102564103
2025-01-01 22:00:00,22,5.221713144674453,2.237877062003337,8.9,1.81138727320328,65.0,305.2564102564103
2025-01-01 23:00:00,23,4.872964913522315,2.088413534366706,8.9,0.8131074044301307,53.0,305.2564102564103
2025-01-02 00:00:00,24,5.205925613138405,2.2311109770593163,8.9,0.4154382359127367,60.0,305.2564102564103
2025-01-02 01:00:00,25,5.417206473771633,2.3216599173306998,8.9,0.5699896551615492,56.0,305.2564102564103
2025-01-02 02:00:00,26,4.900561766170865,2.1002407569303707,8.9,1.0011550246896352,48.0,305.2564102564103
2025-01-02 03:00:00,27,4.708574495584919,2.0179604981078225,8.9,1.0597474621061018,47.0,305.2564102564103
2025-01-02 04:00:00,28,4.267959384762572,1.8291254506125307,8.9,0.9620826744586326,49.0,305.2564102564103
2025-01-02 05:00:00,29,4.986277957952545,2.1369762676939477,8.9,1.222503076138909,56.0,305.2564102564103
2025-01-02 06:00:00,30,4.701958600153519,2.0151251143515077,8.9,1.6656272906708793,86.0,305.2564102564103
2025-01-02 07:00:00,31,4.755831443614129,2.038213475834627,8.9,1.7143432270452432,130.0,305.2564102564103
2025-01-02 08:00:00,32,3.942078859582964,1.6894623683926988,8.9,1.2448665216940549,131.0,305.2564102564103
2025-01-02 09:00:00,33,4.251536066808562,1.822086885775098,8.9,0.8581666499004584,127.0,305.2564102564103
2025-01-02 10:00:00,34,4.25293690903942,1.82268724673118,8.9,0.5418001172483613,118.0,305.2564102564103
2025-01-02 11:00:00,35,4.034025380023985,1.7288680200102793,8.8,0.49633450734582796,114.0,305.2564102564103
2025-01-02 12:00:00,36,4.294798489010661,1.8406279238617116,8.8,0.4721863937783529,107.0,305.2564102564103
2025-01-02 13:00:00,37,4.818139838247802,2.0649170735347724,8.8,0.3472506583637493,116.0,305.2564102564103
2025-01-02 14:00:00,38,4.644686594983718,1.9905799692787365,8.8,0.23947668744623982,128.0,305.2564102564103
2025-01-02 15:00:00,39,4.880857243716674,2.0917959615928603,8.8,0.12595400461296707,142.0,305.2564102564103
2025-01-02 16:00:00,40,4.6201010484448854,1.9800433064763792,8.8,0.12794551858617773,151.0,305.2564102564103
2025-01-02 17:00:00,41,4.641558917166524,1.98923953592851,8.8,0.15032913758953564,153.0,305.2564102564103
2025-01-02 18:00:00,42,4.829106185629712,2.069616936698448,8.8,0.32593049007426783,142.0,305.2564102564103
2025-01-02 19:00:00,43,5.00950080058253,2.14692891453537,8.8,0.622969297468104,135.0,305.2564102564103
2025-01-02 20:00:00,44,4.55734426452301,1.9531475419384328,8.8,0.920146713590847,122.0,305.2564102564103
2025-01-02 21:00:00,45,4.377041076699134,1.875874747156772,8.8,0.859886209146994,102.0,305.2564102564103
2025-01-02 22:00:00,46,4.530107811108847,1.9414747761895055,8.7,1.074620223989218,79.0,305.2564102564103
2025-01-02 23:00:00,47,4.813735798750036,2.0630296280357294,8.7,0.5360908681193469,59.0,305.2564102564103
2025-01-03 00:00:00,48,4.9100668853705525,2.104314379444522,8.7,0.3908756545667165,53.0,305.2564102564103
2025-01-03 01:00:00,49,5.140884401718193,2.203236172164939,8.7,0.39896309068136254,45.0,305.2564102564103
2025-01-03 02:00:00,50,4.615937916790713,1.97825910719602,8.6,0.6431857997655589,38.0,305.2564102564103
2025-01-03 03:00:00,51,4.615124612085821,1.9779105480367802,8.6,0.8381643055807603,34.0,305.2564102564103
2025-01-03 04:00:00,52,4.113177120351179,1.7627901944362196,8.6,0.9650710470953503,38.0,305.2564102564103
2025-01-03 05:00:00,53,3.9886163505844006,1.7094070073933145,8.6,0.7307403679655752,51.0,305.2564102564103
2025-01-03 06:00:00,54,3.7934896402830556,1.6257812744070237,8.6,0.35781139464169054,83.0,305.2564102564103
2025-01-03 07:00:00,55,4.085310717194666,1.7508474502262856,8.6,0.3889260783942297,106.0,305.2564102564103
2025-01-03 08:00:00,56,4.252744526566708,1.8226047971000179,8.6,0.5207265713518391,121.0,305.2564102564103
2025-01-03 09:00:00,57,4.511230404396613,1.93338445902712,8.6,0.5323863753421948,111.0,305.2564102564103
2025-01-03 10:00:00,58,4.689555404931765,2.0098094592564704,8.6,0.7173770272309353,104.0,305.2564102564103
2025-01-03 11:00:00,59,4.8313755916695005,2.0705895392869285,8.6,0.9041689240237047,101.0,305.2564102564103
2025-01-03 12:00:00,60,4.75933087435711,2.0397132318673323,8.6,0.9399979990886265,104.0,305.2564102564103
2025-01-03 13:00:00,61,4.718358363241839,2.0221535842465026,8.6,0.8973981095609439,115.0,305.2564102564103
2025-01-03 14:00:00,62,4.7440407645708875,2.0331603276732375,8.6,0.8973981095609439,135.0,305.2564102564103
