country,column,alpha,beta,n_origins,mae,rmse,model_path,residual_path
IND,carbon_kg_per_mwh,100.0,0.0,8737,12.638150502214888,17.164715175545854,results\causal_forecasts_v3_gated_bias\causal_ridge_IND.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IND.npz
IND,fixed_load_mw,100.0,0.0,8737,0.414234190849631,0.5233187505319911,results\causal_forecasts_v3_gated_bias\causal_ridge_IND.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IND.npz
IND,flexible_arrival_mw,100.0,0.0,8737,0.177528938937751,0.22427946451881348,results\causal_forecasts_v3_gated_bias\causal_ridge_IND.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IND.npz
IND,sst_c,100.0,0.01,8737,0.13028272966158944,0.17976523546450274,results\causal_forecasts_v3_gated_bias\causal_ridge_IND.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IND.npz
IND,wind_mw,100.0,0.01,8737,1.9955080231111122,2.847592176012016,results\causal_forecasts_v3_gated_bias\causal_ridge_IND.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IND.npz
IRL,carbon_kg_per_mwh,0.01,0.01,8737,70.50706681526613,88.23189478754544,results\causal_forecasts_v3_gated_bias\causal_ridge_IRL.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IRL.npz
IRL,fixed_load_mw,0.01,0.0,8737,0.4146345925074959,0.5238111929019416,results\causal_forecasts_v3_gated_bias\causal_ridge_IRL.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IRL.npz
IRL,flexible_arrival_mw,0.01,0.0,8737,0.17770053966278762,0.2244905112614432,results\causal_forecasts_v3_gated_bias\causal_ridge_IRL.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IRL.npz
IRL,sst_c,0.01,0.01,8737,0.1821928914638202,0.28209673079080794,results\causal_forecasts_v3_gated_bias\causal_ridge_IRL.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IRL.npz
IRL,wind_mw,0.01,0.01,8737,4.514200597026037,5.283458001174077,results\causal_forecasts_v3_gated_bias\causal_ridge_IRL.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_IRL.npz
JPN,carbon_kg_per_mwh,0.01,0.0,8737,21.374538348867823,32.7416637641385,results\causal_forecasts_v3_gated_bias\causal_ridge_JPN.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_JPN.npz
JPN,fixed_load_mw,0.01,0.0,8737,0.4146345925074959,0.5238111929019416,results\causal_forecasts_v3_gated_bias\causal_ridge_JPN.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_JPN.npz
JPN,flexible_arrival_mw,0.01,0.0,8737,0.1777005396627876,0.2244905112614432,results\causal_forecasts_v3_gated_bias\causal_ridge_JPN.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_JPN.npz
JPN,sst_c,0.01,0.0,8737,0.2079715199267714,0.3063660316605761,results\causal_forecasts_v3_gated_bias\causal_ridge_JPN.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_JPN.npz
JPN,wind_mw,0.01,0.01,8737,3.860855196898751,4.806099090315479,results\causal_forecasts_v3_gated_bias\causal_ridge_JPN.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_JPN.npz
KOR,carbon_kg_per_mwh,0.01,0.01,8737,17.838969485859444,24.112173433712478,results\causal_forecasts_v3_gated_bias\causal_ridge_KOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_KOR.npz
KOR,fixed_load_mw,0.01,0.0,8737,0.4146345925074959,0.5238111929019416,results\causal_forecasts_v3_gated_bias\causal_ridge_KOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_KOR.npz
KOR,flexible_arrival_mw,0.01,0.0,8737,0.17770053966278762,0.2244905112614432,results\causal_forecasts_v3_gated_bias\causal_ridge_KOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_KOR.npz
KOR,sst_c,0.01,0.01,8737,0.21519209269599748,0.30271864181443364,results\causal_forecasts_v3_gated_bias\causal_ridge_KOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_KOR.npz
KOR,wind_mw,0.01,0.0,8737,3.7508780263398167,4.722584293088532,results\causal_forecasts_v3_gated_bias\causal_ridge_KOR.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_KOR.npz
MYS,carbon_kg_per_mwh,100.0,0.01,8737,14.802641882796987,18.69432244045199,results\causal_forecasts_v3_gated_bias\causal_ridge_MYS.npz,results\causal_forecasts_v3_gated_bias\calibration_residuals_MYS.npz
