scenario,treatment,baseline,metric,n_pairs,mean_relative_improvement_pct,ci95_low_pct,ci95_high_pct,wilcoxon_p_value
adverse_bias,eact_mpc,nominal_causal_mpc,common_cost,60,0.05561397098908745,-0.9243684678750034,1.060837273286857,0.1950988079136644
adverse_bias,eact_mpc,nominal_causal_mpc,e_grid_mwh,60,-0.10627293165390865,-1.3389390330196471,1.1425721452845734,0.029880345114056753
adverse_bias,eact_mpc,nominal_causal_mpc,co2_kg,60,-0.32904567541817975,-1.4527758339597767,0.8197376758117525,0.06253467905389178
adverse_bias,eact_mpc,nominal_causal_mpc,e_total_mwh,60,-0.9599366032919977,-1.31751703573058,-0.6631714688006575,2.2059707532770726e-11
adverse_bias,eact_mpc,static_robust_mpc,common_cost,60,-1.280118252132082,-2.0972723097465074,-0.6731036774228207,7.540976811838648e-10
adverse_bias,eact_mpc,static_robust_mpc,e_grid_mwh,60,-1.4721665177919399,-2.5077583816692774,-0.7210665793889389,3.878761477893344e-09
adverse_bias,eact_mpc,static_robust_mpc,co2_kg,60,-1.6949557148256071,-2.770670004004893,-0.8689865269667397,1.9767456288308216e-09
adverse_bias,eact_mpc,static_robust_mpc,e_total_mwh,60,-0.329567732825069,-0.4869626558033425,-0.1549983277402141,1.5307411071287578e-07
none,eact_mpc,nominal_causal_mpc,common_cost,60,-0.7588624435633916,-1.9257032231488385,0.4498752569386367,0.00023250195736898227
none,eact_mpc,nominal_causal_mpc,e_grid_mwh,60,-0.8720410286693773,-2.345445501746891,0.5610195871712764,0.0001544122565056554
none,eact_mpc,nominal_causal_mpc,co2_kg,60,-0.6924886001286246,-2.3005350638551096,1.0459728695238728,0.008044959221114732
none,eact_mpc,nominal_causal_mpc,e_total_mwh,60,-0.5800811667163378,-0.7878452611293565,-0.3775043143817781,4.633245446262294e-09
none,eact_mpc,static_robust_mpc,common_cost,60,-0.27988893889745875,-0.7311477018250427,0.005544326058969616,0.0049214249164052995
none,eact_mpc,static_robust_mpc,e_grid_mwh,60,-0.2920196777613737,-0.8543546725910327,0.024652722136396802,0.10375530821437719
none,eact_mpc,static_robust_mpc,co2_kg,60,-0.42678476932229564,-1.014573279644855,-0.02043150893289193,0.02292181189617351
none,eact_mpc,static_robust_mpc,e_total_mwh,60,-0.017293364305808103,-0.12259060881722285,0.12244198656269517,0.03789653642824972
